real,imaginary
1.0000,0.0000
0.9983,0.0581
0.9767,0.2144
0.9009,0.4340
0.7471,0.6647
0.5177,0.8555
0.2423,0.9702
-0.0334,0.9994
-0.2631,0.9648
-0.4116,0.9114
-0.4639,0.8859
-0.4116,0.9114
-0.2631,0.9648
-0.0334,0.9994
0.2423,0.9702
0.5177,0.8555
0.7471,0.6647
0.9009,0.4340
0.9767,0.2144
0.9983,0.0581
1.0000,0.0000
0.9983,0.0581
0.9767,0.2144
0.9009,0.4340
0.7471,0.6647
0.5177,0.8555
0.2423,0.9702
-0.0334,0.9994
-0.2631,0.9648
-0.4116,0.9114
-0.4639,0.8859
-0.4116,0.9114
-0.2631,0.9648
-0.0334,0.9994
0.2423,0.9702
0.5177,0.8555
0.7471,0.6647
0.9009,0.4340
0.9767,0.2144
0.9983,0.0581
1.0000,0.0000
0.9983,0.0581
0.9767,0.2144
0.9009,0.4340
0.7471,0.6647
0.5177,0.8555
0.2423,0.9702
-0.0334,0.9994
-0.2631,0.9648
-0.4116,0.9114
-0.4639,0.8859
-0.4116,0.9114
-0.2631,0.9648
-0.0334,0.9994
0.2423,0.9702
0.5177,0.8555
0.7471,0.6647
0.9009,0.4340
0.9767,0.2144
0.9983,0.0581
1.0000,0.0000
0.9983,0.0581
0.9767,0.2144
0.9009,0.4340
0.7471,0.6647
0.5177,0.8555
0.2423,0.9702
-0.0334,0.9994
-0.2631,0.9648
-0.4116,0.9114
-0.4639,0.8859
-0.4116,0.9114
-0.2631,0.9648
-0.0334,0.9994
0.2423,0.9702
0.5177,0.8555
0.7471,0.6647
0.9009,0.4340
0.9767,0.2144
0.9983,0.0581
1.0000,0.0000
0.9983,0.0581
0.9767,0.2144
0.9009,0.4340
0.7471,0.6647
0.5177,0.8555
0.2423,0.9702
-0.0334,0.9994
-0.2631,0.9648
-0.4116,0.9114
-0.4639,0.8859
-0.4116,0.9114
-0.2631,0.9648
-0.0334,0.9994
0.2423,0.9702
0.5177,0.8555
0.7471,0.6647
0.9009,0.4340
0.9767,0.2144
0.9983,0.0581
1.0000,0.0000
0.9983,0.0581
0.9767,0.2144
0.9009,0.4340
0.7471,0.6647
0.5177,0.8555
0.2423,0.9702
-0.0334,0.9994
-0.2631,0.9648
-0.4116,0.9114
-0.4639,0.8859
-0.4116,0.9114
-0.2631,0.9648
-0.0334,0.9994
0.2423,0.9702
0.5177,0.8555
0.7471,0.6647
0.9009,0.4340
0.9767,0.2144
0.9983,0.0581